NetTime,NetDist
50.65081667,78799.86
48.89541667,78125.114
48.46936667,76876.052
48.78251667,78176.558
47.819,77668.688
48.839,78157.35
53.81208333,83145.18
51.78005,80603.843
51.8799,80691.972
49.8583,78866.942
50.3433,79413.419
51.05796667,81239.711
72.65061667,104663.096
76.71773333,114364.939
80.0003,115641.753
66.53178333,98332.285
77.62728333,114257.615
78.76316667,114373.835
75.5198,112919.075
79.88508333,117710.124
79.01295,115906.321
70.58201667,108350.376
70.18803333,109189.229
73.09128333,111885.965
73.18778333,109875.186
76.57475,113994.174
78.46103333,115221.286
76.61251667,113646.31
75.50611667,112987.062
77.1941,114531.537
69.28883333,102582.69
76.42636667,115846.758
56.0293,88778.504
54.10405,87318.77
52.1279,80084.013
48.49826667,79347.75
47.45461667,78323.593
48.73921667,80480.5
52.15141667,81987.138
60.9231,92203.393
59.77545,91285.479
47.22031667,78635.348
46.77398333,75237.817
45.44411667,76142.576
45.1211,74283.519
53.21345,82634.042
53.16846667,82520.72
60.36285,92230.807
60.9901,91901.131
58.4231,90210.18
50.74156667,81297.123
54.72636667,87166.298
58.08518333,90333.515
52.39951667,82165.299
50.35578333,80175.701
50.21565,80444.202
54.08628333,85828.793
51.02425,84548.324
48.60233333,78574.113
47.9935,76660.134
50.591,83571.523
48.93263333,80157.841
57.93526667,89620.613
51.44446667,84834.225
51.4991,81926.998
68.85288333,76273.572
79.7029,88080.537
72.80663333,79260.024
69.99575,78510.436
60.18083333,66611.144
63.32598333,69997.009
67.98158333,76460.234
67.71453333,74487.302
70.138,77482.244
67.99383333,77781.561
74.72441667,82654.376
73.33833333,84293.394
77.40146667,78766.496
72.62051667,83748.354
75.48881667,85773.322
74.91938333,82399.863
68.11418333,76785.81
68.28723333,76366.992
60.7769,70051.875
65.55296667,75367.662
77.84306667,86738.194
62.19868333,69133.794
75.40613333,85096.851
78.37128333,83564.595
76.80866667,82752.818
65.45786667,72937.303
65.34201667,73993.64
73.87615,79134.627
67.13431667,72437.53
46.83378333,60612.739
39.68856667,56216.238
36.58318333,49109.262
35.01515,46166.481
42.20505,56232.708
38.21971667,47633.105
40.79886667,52376.195
43.96011667,56614.347
39.91761667,49159.375
34.52741667,44947.727
37.95416667,48832.611
27.04425,36417.194
32.76488333,43979.251
35.05211667,51270.51
47.30285,66562.584
37.41155,48193.847
45.92041667,66438.932
50.9381,71006.272
32.36418333,37953.683
32.39865,37459.431
31.34191667,38915.265
32.9428,43805.999
35.4422,42438.138
39.25993333,45775.344
29.49705,34860.268
29.91465,35308.726
43.36543333,47250.538
34.33648333,38610.348
35.75576667,38988.833
41.50336667,46478.806
40.14968333,48534.445
41.38736667,47661.876
45.73463333,67789.078
41.14668333,48538.347
46.25338333,53419.659
41.4898,47862.339
41.62408333,45735.261
38.44916667,47160.417
39.73675,44105.223
43.7466,61953.716
44.69921667,63141.002
33.43851667,38232.985
35.54563333,39277.175
38.36758333,41965.285
37.75146667,44724.095
36.86695,39230.948
44.2227,49663.222
45.66188333,51157.563
45.68721667,49506.561
47.9737,52029.11
45.18135,47651.076
46.82085,48879.317
40.11521667,45088.165
31.57063333,36060.9
33.59618333,44723.584
31.88426667,48478
42.30841667,48684.38
45.46593333,51499.675
42.10186667,61398.798
