Region,Upper Tier Local Authority  ,Lower Tier Local Authority  ,Plug in Grant Eligible Vehicles,Hybrid Electric,Band A Cars,Company Cars,cars: Av Co2,Cars: Average Age,Petrol Cars,Diesel Cars,All Cars,Cars: Av Engine Size,Cars: Av Mass,Cars: Av Nox,PropDiesel,PropCompanyCar
Scotland,Shetland Islands UA, ,6,36,712,883,146,6.9,6068,5432,11543,1667,1462,0.12,47.05882353,7.649657801
Scotland,South Ayrshire UA, ,32,241,1790,2811,151,6.8,34643,18800,53759,1686,1392,0.09,34.9708886,5.228891906
Scotland,South Lanarkshire UA, ,71,453,5500,8715,147,5.9,90108,52234,142959,1651,1386,0.09,36.53774859,6.096153443
Scotland,Stirling UA, ,52,430,3375,11634,146,5.7,26932,25394,52830,1732,1445,0.11,48.06738595,22.02157865
Scotland,West Dunbartonshire UA, ,6,116,1099,2196,148,6.6,24445,11566,36150,1606,1359,0.09,31.9944675,6.074688797
Scotland,West Lothian UA, ,39,328,3502,4877,148,6.5,52812,28790,82073,1641,1379,0.09,35.07852765,5.942270905
Northern Ireland,Antrim, ,10,46,750,2129,150,7.5,12991,14362,27437,1730,1432,0.15,52.34537304,7.759594708
Northern Ireland,Ards, ,7,72,1270,2612,152,7.8,25626,16432,42165,1684,1387,0.12,38.9707103,6.194711253
Northern Ireland,Armagh, ,5,52,787,1927,150,8.1,10593,21503,32186,1803,1462,0.17,66.8085503,5.987075126
Northern Ireland,Ballymena, ,14,64,893,1861,150,7.8,16071,17681,33874,1720,1421,0.14,52.1963748,5.493889118
Northern Ireland,Ballymoney, ,5,10,326,745,149,8.3,6186,9709,15925,1738,1431,0.16,60.96703297,4.678178964
Northern Ireland,Banbridge, ,5,32,744,1300,151,7.9,11056,14818,25931,1765,1430,0.15,57.14395897,5.013304539
Northern Ireland,Belfast, ,79,437,4858,21629,147,6.8,61986,43844,106371,1663,1397,0.11,41.21800115,20.33354956
Northern Ireland,Carrickfergus, ,1,41,530,3151,152,7,12794,8769,21617,1693,1396,0.11,40.56529583,14.57649072
Northern Ireland,Castlereagh, ,5,103,866,2248,150,7.2,22561,11503,34185,1640,1371,0.1,33.64926137,6.575983619
Northern Ireland,Coleraine, ,19,61,713,1532,149,7.8,13076,14552,27721,1710,1415,0.14,52.49449876,5.526496158
Northern Ireland,Cookstown, ,1,9,441,1288,150,8.3,5654,13452,19133,1801,1483,0.18,70.30784508,6.731824596
Northern Ireland,Craigavon, ,21,99,1380,3442,148,7.5,22315,22266,44764,1689,1400,0.13,49.74086319,7.689214547
Northern Ireland,Derry City, ,28,62,1059,4080,149,8,17709,27137,44954,1732,1433,0.16,60.36615207,9.075944299
Northern Ireland,Down, ,20,72,948,1928,152,8.4,17204,18718,36035,1735,1419,0.15,51.94394339,5.350353823
Northern Ireland,Dungannon, ,15,33,693,2096,151,8.3,8287,21380,29778,1831,1500,0.19,71.79797166,7.038753442
Northern Ireland,Fermanagh, ,16,32,667,2040,150,8.5,9175,24172,33404,1811,1490,0.19,72.36259131,6.107053048
Northern Ireland,Larne, ,6,37,412,747,150,7.8,8023,8255,16333,1716,1397,0.14,50.54184779,4.573562726
Northern Ireland,Limavady, ,4,16,318,762,148,8.3,4898,11120,16044,1764,1453,0.18,69.30939915,4.749439043
Northern Ireland,Lisburn, ,20,181,1708,4411,150,7.2,33077,26259,59589,1695,1405,0.12,44.06685798,7.402372921
Northern Ireland,Magherafelt, ,2,25,436,1161,150,8.5,6221,16445,22704,1822,1488,0.19,72.43217054,5.113636364
Northern Ireland,Moyle, ,5,7,207,398,151,8.5,3429,5025,8476,1754,1434,0.16,59.28504011,4.695611137
Northern Ireland,Newry and Mourne, ,11,95,1021,3235,153,8.5,14972,34240,49354,1845,1486,0.18,69.37634234,6.55468655
Northern Ireland,Newtownabbey, ,43,138,1901,7155,146,6.6,26721,19272,46185,1649,1410,0.11,41.72783371,15.49204287
Northern Ireland,North Down, ,10,101,1056,2020,153,7.5,27795,13028,40964,1674,1362,0.1,31.80353481,4.931159066
Northern Ireland,Omagh, ,9,29,600,1649,150,8.1,7734,18299,26092,1797,1497,0.18,70.1326077,6.319944811
Northern Ireland,Strabane, ,5,14,415,1258,148,8.3,5523,14190,19735,1785,1482,0.19,71.90271092,6.374461616
