Region,Upper Tier Local Authority  ,Lower Tier Local Authority  ,Plug in Grant Eligible Vehicles,Hybrid Electric,Band A Cars,Company Cars,cars: Av Co2,Cars: Average Age,Petrol Cars,Diesel Cars,All Cars,Cars: Av Engine Size,Cars: Av Mass,Cars: Av Nox,PropDiesel,PropCompanyCar
East Midlands,Leicestershire,Melton,7,120,756,1009,156,8.6,16888,10874,27932,1752,1427,0.12,38.9302592,3.612344265
East Midlands,Leicestershire,North West Leicestershire,9,178,1415,2361,154,8.2,32096,19199,51569,1718,1408,0.11,37.22973104,4.578331944
East Midlands,Leicestershire,Oadby and Wigston,9,191,627,844,155,8.7,18865,8528,27632,1694,1379,0.1,30.86276781,3.054429647
East Midlands,Lincolnshire,Boston,11,107,771,1727,155,8.9,19337,12769,32285,1727,1422,0.12,39.55087502,5.34923339
East Midlands,Lincolnshire,East Lindsey,27,276,1811,3911,156,8.8,43819,28691,72939,1737,1421,0.12,39.33560921,5.362014834
East Midlands,Lincolnshire,Lincoln,15,138,1044,2451,152,8.5,24019,12952,37167,1665,1402,0.11,34.84811795,6.59455969
East Midlands,Lincolnshire,North Kesteven,26,278,1775,2642,153,8,36141,25321,61870,1727,1413,0.12,40.92613545,4.27024406
East Midlands,Lincolnshire,South Holland,10,135,1183,2066,156,8.8,29498,19717,49468,1748,1420,0.12,39.85809008,4.176437293
East Midlands,Lincolnshire,South Kesteven,23,330,2304,2863,154,8.2,43869,29285,73608,1734,1414,0.11,39.78507771,3.889522878
East Midlands,Lincolnshire,West Lindsey,16,261,1412,2030,154,8.3,29279,20457,50076,1737,1422,0.12,40.8519051,4.053838166
East Midlands,Northamptonshire,Corby,17,94,602,1460,155,8.5,19169,9767,29116,1679,1382,0.11,33.54512983,5.014425058
East Midlands,Northamptonshire,Daventry,26,209,1314,1806,157,8.2,27608,18073,45995,1785,1438,0.12,39.29340146,3.926513751
East Midlands,Northamptonshire,East Northamptonshire,27,199,1256,1676,156,8.4,30416,18152,48854,1738,1406,0.11,37.1556065,3.430630041
East Midlands,Northamptonshire,Kettering,30,363,2060,7329,151,7.8,32400,21712,54558,1715,1422,0.11,39.79618021,13.43341032
East Midlands,Northamptonshire,Northampton,48,597,2861,7302,153,8.2,66194,37391,104357,1692,1402,0.11,35.82989162,6.997134835
East Midlands,Northamptonshire,South Northamptonshire,83,282,1740,2856,157,8.2,32005,22258,54726,1797,1441,0.12,40.67170997,5.218726017
East Midlands,Northamptonshire,Wellingborough,20,160,978,1889,155,8.6,25200,13575,39033,1705,1407,0.11,34.77826455,4.839494786
East Midlands,Nottingham UA, ,50,658,2043,6016,155,8.8,59559,27210,87606,1668,1395,0.1,31.05951647,6.867109559
East Midlands,Nottinghamshire,Ashfield,18,211,1472,2613,154,8.3,36583,19314,56187,1669,1386,0.11,34.37449944,4.65054194
East Midlands,Nottinghamshire,Bassetlaw,16,263,1568,2850,154,8.1,33607,23432,57394,1732,1419,0.12,40.82656724,4.965675855
East Midlands,Nottinghamshire,Broxtowe,22,287,1385,1987,153,8.2,35263,16662,52293,1675,1381,0.1,31.86277322,3.799743752
East Midlands,Nottinghamshire,Gedling,24,308,1331,2554,155,8.2,36991,17928,55324,1688,1389,0.1,32.40546598,4.616441327
East Midlands,Nottinghamshire,Mansfield,14,244,1331,2782,154,8.2,32393,16554,49261,1678,1378,0.1,33.60467713,5.647469601
East Midlands,Nottinghamshire,Newark and Sherwood,27,302,1785,2631,156,8.2,36058,23712,60207,1749,1423,0.12,39.38412477,4.369923763
East Midlands,Nottinghamshire,Rushcliffe,20,445,1572,1725,155,7.7,36482,21130,58148,1759,1415,0.11,36.33830914,2.966568068
East Midlands,Rutland UA, ,14,113,625,665,157,8,12102,8689,20944,1801,1437,0.12,41.486822,3.17513369
West Midlands,Birmingham, ,1826,5886,49028,223233,142,6.1,267655,291768,567911,1724,1477,0.11,51.37565569,39.30774364
West Midlands,Coventry, ,59,840,5034,12845,150,8,84729,47810,133690,1663,1453,0.1,35.76183709,9.60804847
West Midlands,Dudley, ,67,522,3640,7421,152,8.1,101383,47768,149968,1649,1365,0.1,31.85212845,4.94838899
West Midlands,"Herefordshire, County of UA", ,52,353,2261,4488,158,9.3,59013,42062,101742,1768,1446,0.13,41.3418254,4.411157634
West Midlands,Sandwell, ,34,376,2353,7159,153,8.3,77039,39427,117146,1647,1414,0.1,33.65629215,6.111177505
West Midlands,Shropshire UA, ,95,549,4499,9544,155,8.7,95783,70661,167341,1754,1472,0.13,42.2257546,5.70332435
West Midlands,Solihull, ,185,1168,26130,50150,139,5.7,91363,62452,155329,1639,1359,0.1,40.20627185,32.28630842
West Midlands,Staffordshire,Cannock Chase,29,183,1510,3338,152,7.9,31895,17082,49259,1670,1388,0.11,34.67792688,6.776426643
West Midlands,Staffordshire,East Staffordshire,14,207,1702,2307,154,8.1,33524,22153,55964,1728,1415,0.11,39.58437567,4.122292903
West Midlands,Staffordshire,Lichfield,24,298,1667,2811,155,7.7,36040,21173,57635,1759,1415,0.11,36.73635812,4.87724473
West Midlands,Staffordshire,Newcastle-under-Lyme,22,269,1693,2387,151,7.8,38299,20306,58979,1666,1373,0.1,34.42920361,4.047203242
West Midlands,Staffordshire,South Staffordshire,23,247,1722,2178,154,7.7,39070,21603,61036,1730,1406,0.11,35.39386592,3.568385871
West Midlands,Staffordshire,Stafford,35,365,2144,3435,152,7.5,41845,26361,68687,1721,1405,0.11,38.37844134,5.000946322
West Midlands,Staffordshire,Staffordshire Moorlands,16,216,1469,1862,153,8.1,32035,21154,53498,1714,1406,0.12,39.54166511,3.480503944
West Midlands,Staffordshire,Tamworth,12,180,1193,2337,151,7.8,24656,12362,37242,1659,1377,0.1,33.19370603,6.275173192
West Midlands,Stoke-on-Trent UA, ,49,460,3390,8913,149,7.8,67900,35987,104564,1633,1373,0.1,34.41624268,8.523966183
West Midlands,Telford and Wrekin UA, ,31,245,2334,4799,152,8.2,49368,30948,80734,1694,1396,0.11,38.33329205,5.944211856
West Midlands,Walsall, ,45,408,2646,5761,153,8.3,74033,38059,112802,1673,1382,0.11,33.73965001,5.107178951
West Midlands,Warwickshire,North Warwickshire,23,125,1107,2326,155,8,22400,13376,35993,1722,1454,0.11,37.16278165,6.462367683
West Midlands,Warwickshire,Nuneaton and Bedworth,15,214,1975,2560,151,8.2,40345,21009,61675,1662,1352,0.1,34.0640454,4.150790434
West Midlands,Warwickshire,Rugby,21,262,1587,1768,154,8.3,34324,19046,53760,1721,1395,0.11,35.42782738,3.288690476
West Midlands,Warwickshire,Stratford-on-Avon,51,457,1997,5621,159,8.3,47516,29667,77799,1857,1446,0.11,38.13288089,7.225028599
West Midlands,Warwickshire,Warwick,23,313,2013,3293,155,7.9,46231,24554,71215,1746,1414,0.1,34.47869129,4.624025837
West Midlands,Wolverhampton, ,28,396,2225,5499,153,8.5,66269,32183,99053,1665,1376,0.1,32.4906868,5.5515734
West Midlands,Worcestershire,Bromsgrove,26,326,2080,3000,154,7.8,34851,20962,56240,1745,1411,0.11,37.27240398,5.33428165
West Midlands,Worcestershire,Malvern Hills,18,211,1143,1639,158,9.2,28149,17336,45775,1778,1429,0.12,37.87220098,3.580557073
West Midlands,Worcestershire,Redditch,17,133,1342,2193,152,8.2,27769,14694,42681,1675,1369,0.1,34.42749701,5.138117664
West Midlands,Worcestershire,Worcester,90,231,1814,7543,150,7.6,32927,18979,52210,1683,1391,0.1,36.3512737,14.44742387
West Midlands,Worcestershire,Wychavon,513,339,4902,5015,150,7.7,47512,34753,83197,1729,1428,0.12,41.77193889,6.027861582
West Midlands,Worcestershire,Wyre Forest,21,130,1221,2223,156,8.8,35110,18099,53463,1707,1391,0.11,33.85331912,4.158015824
East of England,Bedford UA, ,157,742,4339,13695,152,7.7,59692,31128,91807,1705,1408,0.1,33.90591131,14.91716318
East of England,Cambridgeshire,Cambridge,29,336,885,1500,157,8.8,26397,11846,38639,1722,1396,0.1,30.65814333,3.882088046
East of England,Cambridgeshire,East Cambridgeshire,21,199,1052,1743,157,8.7,28395,18902,47590,1765,1434,0.12,39.71842824,3.662534146
East of England,Cambridgeshire,Fenland,10,111,1133,2225,156,8.9,30030,20724,50962,1739,1420,0.12,40.66559397,4.365998195
East of England,Cambridgeshire,Huntingdonshire,54,601,3784,9919,154,7.9,60210,40723,101706,1760,1423,0.11,40.03991898,9.752620298
East of England,Cambridgeshire,South Cambridgeshire,56,518,2353,3216,157,8.3,54464,32027,87201,1763,1425,0.11,36.72778982,3.688031101
